 ,Label,Area,BX,BY,Width,Height,Angle,Length
86,pdc40(a1-b1)-2.tif:0002-0276-0499:2,0.431,83.729,46.102,1.864,1.525,-36.027,2.329
87,pdc40(a1-b1)-2.tif:0002-0282-0491:2,0.488,82.203,46.949,2.034,1.695,-39.806,2.648
88,pdc40(a1-b1)-2.tif:0002-0186-0562:2,0.345,95.254,30.678,0.169,1.864,-84.806,1.811
89,pdc40(a1-b1)-2.tif:0002-0381-0470:2,0.345,78.814,64.576,1.864,0.000,0.000,1.808
90,pdc40(a1-b1)-2.tif:0002-0424-0659:2,0.345,110.847,71.525,1.695,0.847,-21.801,1.870
91,pdc40(a1-b1)-2.tif:0002-0766-0877:2,0.431,147.966,128.983,1.525,1.695,-48.013,2.318
92,pdc40(a1-b1)-2.tif:0002-0790-0899:2,0.316,151.695,133.390,1.356,1.017,-36.870,1.695
93,pdc40(a1-b1)-2.tif:0002-0812-1041:2,0.373,175.763,136.949,1.356,1.525,-48.366,1.999
94,pdc40(a1-b1)-2.tif:0002-0840-1096:2,0.402,184.746,142.373,2.203,0.169,-4.399,2.263
95,pdc40(a1-b1)-2.tif:0002-0848-1128:2,0.345,190.339,143.729,1.864,0.169,-5.194,1.811
96,pdc40(a1-b1)-2.tif:0001-0089-0956:1,0.373,161.695,14.237,0.847,1.864,-65.556,2.077
97,pdc40(a1-b1)-2.tif:0001-0060-0932:1,0.431,156.949,9.661,2.203,1.186,-28.301,2.426
98,pdc40(a1-b1)-2.tif:0001-0101-0953:1,0.402,160.678,16.780,1.864,0.847,-24.444,2.123
99,pdc40(a1-b1)-2.tif:0001-0169-0983:1,0.431,165.763,27.966,1.864,1.525,-39.289,2.402
100,pdc40(a1-b1)-2.tif:0001-0117-0665:1,0.402,111.864,19.322,1.864,1.186,-28.610,2.132
101,pdc40(a1-b1)-2.tif:0001-0074-1201:1,0.460,202.712,11.695,1.695,1.864,-47.726,2.478
102,pdc40(a1-b1)-2.tif:0001-0121-1218:1,0.373,205.763,19.831,1.356,1.525,-48.366,1.999
103,pdc40(a1-b1)-2.tif:0001-0282-0219:1,0.460,36.102,47.288,2.203,1.017,-23.199,2.478
104,pdc40(a1-b1)-2.tif:0001-0319-0164:1,0.431,27.288,53.051,1.186,2.034,-56.310,2.384
105,pdc40(a1-b1)-2.tif:0001-0261-0115:1,0.431,18.814,43.390,1.525,1.695,-45.000,2.318
106,pdc40(a1-b1)-2.tif:0001-0092-0577:1,0.345,96.949,15.593,1.864,0.000,0.000,1.808
107,pdc40(a1-b1)-2.tif:0001-0758-0050:1,0.345,7.966,127.797,1.017,1.525,-56.310,1.787
108,pdc40(a1-b1)-2.tif:0001-0734-0029:1,0.402,4.237,123.729,1.525,1.525,-48.013,2.159
109,pdc40(a1-b1)-2.tif:0001-0880-0212:1,0.373,35.085,148.814,1.864,0.847,-24.444,2.021
110,pdc40(a1-b1)-2.tif:0001-0971-0511:1,0.488,85.932,163.559,1.525,2.203,-52.431,2.759
111,pdc40(a1-b1)-2.tif:0001-0999-0456:1,0.546,75.763,169.322,3.051,0.169,3.180,3.059
112,pdc40(a1-b1)-2.tif:0001-0627-0143:1,0.287,23.559,105.932,1.356,0.847,-26.565,1.570
113,pdc40(a1-b1)-2.tif:0001-0668-0406:1,0.345,68.475,112.542,0.847,1.525,-60.945,1.822
114,pdc40(a1-b1)-2.tif:0001-0706-0506:1,0.632,84.576,118.475,2.542,2.373,-41.186,3.519
115,pdc40(a1-b1)-2.tif:0001-0240-0480:1,0.546,79.831,40.678,3.051,0.169,3.180,3.053
