 ,Label,Area,BX,BY,Width,Height,Angle,Length
127,c74(a1-1d)-10.tif:0001-0857-0573:1,0.431,96.271,144.576,1.864,1.525,38.660,2.329
128,c74(a1-1d)-10.tif:0001-0676-0361:1,0.316,60.847,113.898,0.847,1.525,63.435,1.769
129,c74(a1-1d)-10.tif:0001-0648-0366:1,0.373,62.034,108.814,0.169,2.034,90.000,2.037
130,c74(a1-1d)-10.tif:0001-0715-0325:1,0.517,54.407,120.000,1.356,2.542,61.928,2.931
131,c74(a1-1d)-10.tif:0001-0743-0298:1,0.661,48.983,124.915,3.051,2.034,33.690,3.667
132,c74(a1-1d)-10.tif:0001-0761-0283:1,0.460,47.627,127.797,0.847,2.542,71.565,2.609
133,c74(a1-1d)-10.tif:0001-0780-0273:1,0.575,45.085,131.356,2.542,1.864,38.157,3.142
134,c74(a1-1d)-10.tif:0001-0740-0265:1,0.316,44.407,124.915,1.186,1.186,45.000,1.758
135,c74(a1-1d)-10.tif:0001-0734-0262:1,0.316,43.729,124.068,1.525,0.847,32.005,1.725
136,c74(a1-1d)-10.tif:0001-1000-0326:1,0.345,55.254,168.644,0.000,1.864,90.000,1.921
137,c74(a1-1d)-10.tif:0001-0915-0277:1,0.575,45.932,153.898,2.034,2.542,53.130,3.300
138,c74(a1-1d)-10.tif:0001-0940-0263:1,0.373,44.068,158.475,1.017,1.695,59.036,1.977
139,c74(a1-1d)-11.tif:0001-0170-0370:1,0.661,61.695,27.288,2.034,3.051,56.310,3.667
140,c74(a1-1d)-11.tif:0001-0167-0351:1,0.661,58.475,26.780,2.203,3.051,54.162,3.731
141,c74(a1-1d)-11.tif:0001-0326-0244:1,0.431,40.508,54.576,1.864,1.525,36.027,2.329
142,c74(a1-1d)-11.tif:0001-0347-0226:1,0.488,37.458,57.797,1.695,2.203,52.431,2.735
143,c74(a1-1d)-11.tif:0001-0362-0212:1,0.517,35.424,60.169,1.186,2.542,64.983,2.881
144,c74(a1-1d)-11.tif:0001-0385-0188:1,0.575,30.678,64.407,2.542,1.864,33.690,3.166
145,c74(a1-1d)-11.tif:0001-0355-0579:1,0.259,97.797,59.661,0.847,1.186,50.194,1.379
146,c74(a1-1d)-11.tif:0001-0261-0604:1,0.259,101.864,43.898,1.017,0.847,39.806,1.288
147,c74(a1-1d)-11.tif:0001-0241-0608:1,0.603,102.373,39.492,1.525,2.881,62.103,3.337
148,c74(a1-1d)-11.tif:0001-0268-0517:1,0.460,86.780,44.576,1.864,1.695,45.000,2.478
149,c74(a1-1d)-11.tif:0001-0199-0463:1,0.259,78.475,33.051,0.169,1.356,82.875,1.361
150,c74(a1-1d)-11.tif:0001-0166-0439:1,0.345,73.898,27.458,1.017,1.525,53.130,1.787
151,c74(a1-1d)-11.tif:0001-0408-0372:1,0.488,62.712,67.966,0.847,2.542,75.964,2.717
152,c74(a1-1d)-11.tif:0001-0465-0299:1,0.373,50.508,77.797,0.508,2.034,75.964,2.111
153,c74(a1-1d)-11.tif:0001-0089-0265:1,0.517,44.068,14.068,1.864,2.203,52.431,2.807
154,c74(a1-1d)-11.tif:0001-0113-0242:1,0.546,39.831,18.475,2.542,1.525,29.358,3.042
155,c74(a1-1d)-11.tif:0001-0656-0551:1,0.488,93.390,109.831,0.000,2.712,90.000,2.712
156,c74(a1-1d)-11.tif:0001-0683-0538:1,0.402,90.508,115.085,1.525,1.525,41.634,2.159
157,c74(a1-1d)-11.tif:0001-0749-0457:1,0.259,77.119,126.441,0.678,1.186,60.255,1.318
158,c74(a1-1d)-11.tif:0001-0776-0445:1,0.517,75.424,130.169,0.169,2.881,83.290,2.834
159,c74(a1-1d)-11.tif:0001-0630-0243:1,0.460,40.339,106.102,1.864,1.525,42.274,2.488
160,c74(a1-1d)-11.tif:0001-0609-0259:1,0.345,43.898,102.373,0.169,1.864,-84.806,1.822
161,c74(a1-1d)-11.tif:0001-0550-0393:1,0.373,65.932,92.542,1.525,1.356,41.634,2.084
162,c74(a1-1d)-11.tif:0001-0555-0412:1,0.460,68.644,94.068,2.542,0.169,0.000,2.601
163,c74(a1-1d)-11.tif:0001-0817-0705:1,0.345,118.814,137.966,1.525,1.186,34.992,1.944
164,c74(a1-1d)-11.tif:0001-0908-0728:1,0.230,123.051,153.559,0.847,0.847,51.340,1.201
165,c74(a1-1d)-11.tif:0001-0899-0706:1,0.517,118.814,151.356,1.695,2.203,52.431,2.825
166,c74(a1-1d)-11.tif:0001-0899-0736:1,0.316,124.576,151.525,0.508,1.695,73.301,1.754
167,c74(a1-1d)-11.tif:0001-0929-0715:1,0.287,120.847,156.780,0.847,1.356,57.995,1.570
168,c74(a1-1d)-11.tif:0001-0928-0743:1,0.460,125.763,156.102,0.508,2.542,102.095,2.549
169,c74(a1-1d)-11.tif:0001-0923-0667:1,0.345,112.712,155.593,0.678,1.695,68.199,1.825
170,c74(a1-1d)-11.tif:0001-0957-0525:1,0.546,88.136,161.017,1.695,2.542,56.310,3.009
171,c74(a1-1d)-11.tif:0001-0984-0501:1,0.402,84.746,165.763,0.508,2.203,77.005,2.220
172,c74(a1-1d)-11.tif:0001-0803-0314:1,0.287,52.881,135.593,0.847,1.186,60.255,1.473
173,c74(a1-1d)-11.tif:0001-0820-0305:1,0.230,51.356,138.644,0.847,0.847,45.000,1.119
174,c74(a1-1d)-11.tif:0001-0828-0223:1,0.373,37.119,139.661,1.356,1.525,48.366,1.999
175,c74(a1-1d)-11.tif:0001-0663-0245:1,0.460,40.678,111.525,1.695,1.864,47.726,2.478
176,c74(a1-1d)-11.tif:0001-0676-0230:1,0.230,38.475,114.407,1.017,0.508,18.435,1.113
