 ,Label,Area,BX,BY,Width,Height,Angle,Length
98,pdc40(a1-c2)-3.tif:0001-0836-0274:1,0.259,45.763,141.525,1.356,0.508,14.036,1.421
99,pdc40(a1-c2)-3.tif:0001-0718-0573:1,0.287,97.119,121.017,0.169,1.525,-90.000,1.528
100,pdc40(a1-c2)-3.tif:0001-0779-0685:1,0.345,115.424,131.525,1.356,1.186,41.186,1.802
101,pdc40(a1-c2)-3.tif:0001-0473-0567:1,0.259,95.424,79.831,1.356,0.678,23.199,1.403
102,pdc40(a1-c2)-3.tif:0001-0505-0540:1,0.431,90.508,85.254,2.203,0.678,17.103,2.305
103,pdc40(a1-c2)-3.tif:0001-0614-0437:1,0.373,73.729,103.220,0.847,1.864,65.556,2.048
104,pdc40(a1-c2)-3.tif:0001-0472-0715:1,0.287,120.508,79.831,1.525,0.339,-12.529,1.563
105,pdc40(a1-c2)-3.tif:0001-0539-0294:1,0.402,49.661,90.339,0.508,2.203,77.005,2.179
106,pdc40(a1-c2)-3.tif:0001-0518-0325:1,0.259,54.746,87.288,0.847,1.186,50.194,1.340
107,pdc40(a1-c2)-3.tif:0001-0570-0321:1,0.316,54.068,95.932,0.678,1.525,-66.038,1.669
108,pdc40(a1-c2)-3.tif:0001-0317-0317:1,0.345,53.390,52.881,0.847,1.695,-63.435,1.820
109,pdc40(a1-c2)-3.tif:0001-0345-0324:1,0.575,54.746,56.949,0.339,3.220,-83.991,3.238
110,pdc40(a1-c2)-3.tif:0001-0389-0958:1,0.402,162.034,64.915,0.847,2.034,71.565,2.172
111,pdc40(a1-c2)-3.tif:0001-0387-0965:1,0.172,163.390,65.254,0.339,0.847,75.964,0.804
112,pdc40(a1-c2)-3.tif:0001-0408-0931:1,0.546,156.949,67.966,1.695,2.542,56.310,3.056
113,pdc40(a1-c2)-3.tif:0001-0362-0977:1,0.517,164.746,60.339,1.864,2.203,52.431,2.832
114,pdc40(a1-c2)-3.tif:0001-0463-0961:1,0.201,162.712,77.966,0.508,1.017,59.036,1.062
115,pdc40(a1-c2)-3.tif:0001-0234-0872:1,0.287,147.119,39.492,1.525,0.339,12.529,1.563
116,pdc40(a1-c2)-3.tif:0001-0240-0885:1,0.345,149.153,40.678,1.864,0.169,-5.711,1.788
117,pdc40(a1-c2)-3.tif:0001-0289-0759:1,0.230,128.475,48.475,0.339,1.186,-80.538,1.131
118,pdc40(a1-c2)-3.tif:0001-0327-0857:1,0.259,144.915,54.915,0.847,1.186,-54.462,1.410
119,pdc40(a1-c2)-3.tif:0001-0550-0841:1,0.460,142.034,92.203,1.186,2.203,65.225,2.463
120,pdc40(a1-c2)-3.tif:0001-0463-1293:1,0.373,218.475,77.797,1.525,1.356,41.634,1.978
121,pdc40(a1-c2)-3.tif:0001-0523-1294:1,0.488,218.136,87.966,2.373,1.525,32.735,2.776
122,pdc40(a1-c2)-3.tif:0001-0496-1332:1,0.287,225.254,83.559,1.186,1.186,40.601,1.558
123,pdc40(a1-c2)-3.tif:0001-0555-1298:1,0.316,219.322,93.729,1.525,0.678,23.962,1.669
124,pdc40(a1-c2)-3.tif:0001-0586-1138:1,0.345,192.034,99.153,1.864,0.339,5.194,1.798
125,pdc40(a1-c2)-3.tif:0001-0440-1157:1,0.373,195.424,73.898,1.525,1.525,45.000,2.098
126,pdc40(a1-c2)-3.tif:0001-0819-1091:1,0.345,184.407,138.136,1.186,1.525,52.125,1.814
127,pdc40(a1-c2)-3.tif:0001-0736-1070:1,0.316,181.356,123.898,0.169,1.695,84.289,1.703
128,pdc40(a1-c2)-3.tif:0001-0091-0072:1,0.287,11.864,14.915,0.847,1.186,-54.462,1.458
129,pdc40(a1-c2)-3.tif:0001-0108-0155:1,0.287,25.763,17.797,1.186,1.017,35.538,1.509
130,pdc40(a1-c2)-4.tif:0003-0006-0284:3,0.402,47.119,0.508,2.034,1.186,26.565,2.239
131,pdc40(a1-c2)-4.tif:0003-0332-0261:3,0.287,43.898,55.593,0.847,1.356,63.435,1.482
132,pdc40(a1-c2)-4.tif:0003-0342-0310:3,0.373,52.373,56.949,0.508,2.034,75.964,2.078
133,pdc40(a1-c2)-4.tif:0003-0907-0427:3,0.345,72.203,152.881,0.339,1.864,79.695,1.882
134,pdc40(a1-c2)-4.tif:0003-0893-0530:3,0.316,89.322,150.678,1.017,1.356,-49.399,1.628
135,pdc40(a1-c2)-4.tif:0003-0784-0553:3,0.201,93.559,132.373,0.508,1.017,63.435,1.062
136,pdc40(a1-c2)-4.tif:0003-0950-0336:3,0.402,56.271,160.169,1.356,1.864,51.340,2.237
137,pdc40(a1-c2)-4.tif:0003-0920-0587:3,0.287,99.153,155.424,0.847,1.186,54.462,1.458
138,pdc40(a1-c2)-4.tif:0003-0369-0519:3,0.259,87.458,62.203,1.017,0.847,39.806,1.324
139,pdc40(a1-c2)-4.tif:0003-0354-0522:3,0.316,88.475,59.153,0.000,1.695,90.000,1.610
140,pdc40(a1-c2)-4.tif:0003-0200-0770:3,0.402,130.339,32.881,0.508,2.203,77.005,2.179
141,pdc40(a1-c2)-4.tif:0003-0268-0770:3,0.287,130.508,44.746,0.169,1.525,-96.340,1.535
142,pdc40(a1-c2)-4.tif:0003-0236-0770:3,0.431,129.661,39.153,1.695,1.695,45.000,2.397
143,pdc40(a1-c2)-4.tif:0003-0386-0672:3,0.460,113.390,64.237,1.017,2.373,68.962,2.471
144,pdc40(a1-c2)-4.tif:0003-0391-0773:3,0.460,130.000,65.763,2.203,1.186,28.301,2.503
145,pdc40(a1-c2)-4.tif:0003-0347-0852:3,0.287,143.729,58.475,1.525,0.678,26.565,1.592
146,pdc40(a1-c2)-4.tif:0003-0899-0908:3,0.316,153.729,151.525,0.508,1.695,73.301,1.770
147,pdc40(a1-c2)-4.tif:0003-0926-0921:3,0.402,156.102,155.932,0.169,2.203,85.601,2.210
148,pdc40(a1-c2)-4.tif:0003-0731-1048:3,0.431,177.119,122.881,1.017,2.203,65.225,2.350
149,pdc40(a1-c2)-4.tif:0003-0762-0904:3,0.316,152.881,128.475,0.847,1.525,60.945,1.745
150,pdc40(a1-c2)-4.tif:0003-0795-0907:3,0.345,153.220,134.068,1.017,1.525,56.310,1.788
151,pdc40(a1-c2)-4.tif:0003-0958-0905:3,0.345,152.712,161.695,1.356,1.356,45.000,1.859
152,pdc40(a1-c2)-4.tif:0003-0969-0915:3,0.201,154.746,163.898,0.678,0.847,-51.340,0.966
153,pdc40(a1-c2)-5.tif:0001-0974-1011:1,0.402,170.508,164.407,1.695,1.356,38.660,2.206
154,pdc40(a1-c2)-5.tif:0001-0958-1099:1,0.517,185.763,161.186,1.186,2.542,66.371,2.857
