 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
38,Slice1-nmdablocker.lif - Series006:0001-0316-0674:z:1/26 - Series006,0.636,224.994,151.500,255.000,162.157,75.878,-36.870,2.502
39,Slice1-nmdablocker.lif - Series006:0001-0325-0687:z:1/26 - Series006,0.347,243.640,195.000,255.000,165.284,78.283,-36.870,1.301
40,Slice1-nmdablocker.lif - Series006:0001-0372-0799:z:1/26 - Series006,0.578,181.228,30.500,224.500,192.100,89.286,-57.995,2.237
41,Slice1-nmdablocker.lif - Series006:0001-0381-0809:z:1/26 - Series006,0.521,226.363,178.145,255.000,194.384,91.450,-45.000,1.871
42,Slice1-nmdablocker.lif - Series006:0001-0373-0849:z:1/26 - Series006,0.694,250.020,203.250,255.000,204.125,89.767,-48.814,2.726
43,Slice1-nmdablocker.lif - Series006:0001-0387-0856:z:1/26 - Series006,0.694,139.812,66.959,197.083,205.988,93.194,-52.125,2.742
44,Slice1-nmdablocker.lif - Series006:0001-0449-0868:z:1/26 - Series006,0.868,239.871,146.250,255.000,208.694,107.924,-50.711,3.249
45,Slice1-nmdablocker.lif - Series006:0001-0464-0881:z:1/26 - Series006,0.694,241.485,151.500,255.000,211.821,111.412,-48.814,2.551
46,Slice1-nmdablocker.lif - Series006:0001-0348-0981:z:1/26 - Series006,0.694,202.665,55.000,249.143,235.750,83.514,-45.000,2.551
47,Slice1-nmdablocker.lif - Series006:0001-0358-0995:z:1/26 - Series006,0.636,238.027,195.500,255.000,239.298,86.219,-60.945,2.476
48,Slice1-nmdablocker.lif - Series006:0001-0431-0712:z:1/26 - Series006,0.521,228.726,95.000,255.000,171.296,103.656,-60.255,2.001
49,Slice1-nmdablocker.lif - Series006:0001-0425-0700:z:1/26 - Series006,0.578,161.898,137.222,213.210,168.470,102.032,-40.601,2.141
50,Slice1-nmdablocker.lif - Series006:0001-0465-0747:z:1/26 - Series006,0.983,228.842,93.500,255.000,179.654,111.772,-34.695,3.736
51,Slice1-nmdablocker.lif - Series006:0001-0454-0731:z:1/26 - Series006,0.694,206.142,116.250,255.000,175.625,109.187,-26.565,2.582
52,Slice1-nmdablocker.lif - Series006:0001-0382-0746:z:1/26 - Series006,0.752,211.736,111.000,255.000,179.413,91.691,-71.565,2.928
53,Slice1-nmdablocker.lif - Series006:0001-0364-0739:z:1/26 - Series006,0.868,217.882,135.329,254.853,177.790,87.362,-74.055,3.422
54,Slice1-nmdablocker.lif - Series006:0001-0344-0775:z:1/26 - Series006,0.636,222.995,161.500,255.000,186.207,82.792,-36.870,2.387
55,Slice1-nmdablocker.lif - Series003_000.tif:0001-0501-0404:z:1/25 - Series003_000,0.752,207.397,103.000,255.000,97.282,120.551,-19.983,2.858
56,Slice1-nmdablocker.lif - Series003_000.tif:0001-0497-0388:z:1/25 - Series003_000,0.810,117.919,26.500,155.601,93.194,119.348,-26.565,3.175
57,Slice1-nmdablocker.lif - Series003_000.tif:0001-0547-0396:z:1/25 - Series003_000,0.752,210.066,18.000,255.000,95.058,131.554,-18.435,2.928
58,Slice1-nmdablocker.lif - Series003_000.tif:0001-0561-0351:z:1/25 - Series003_000,1.157,232.256,57.000,255.000,84.536,134.860,27.897,4.571
59,Slice1-nmdablocker.lif - Series003_000.tif:0001-0359-0349:z:1/25 - Series003_000,0.521,216.979,40.000,255.000,84.055,86.460,-23.199,1.832
60,Slice1-nmdablocker.lif - Series003_000.tif:0001-0356-0371:z:1/25 - Series003_000,0.578,222.956,86.000,255.000,89.105,85.618,-26.565,2.151
61,Slice1-nmdablocker.lif - Series003_000.tif:0001-0384-0450:z:1/25 - Series003_000,0.868,232.541,114.500,255.000,108.285,92.352,-26.565,3.335
62,Slice1-nmdablocker.lif - Series003_000.tif:0001-0389-0429:z:1/25 - Series003_000,0.463,233.438,122.500,255.000,103.175,93.615,-15.945,1.788
63,Slice1-nmdablocker.lif - Series003_000.tif:0001-0439-0395:z:1/25 - Series003_000,0.636,200.091,28.500,255.000,94.937,105.580,-40.601,2.310
64,Slice1-nmdablocker.lif - Series003_000.tif:0001-0421-0368:z:1/25 - Series003_000,0.578,250.356,231.500,255.000,88.444,101.251,-29.745,2.044
65,Slice1-nmdablocker.lif - Series003_000.tif:0001-0429-0490:z:1/25 - Series003_000,0.694,244.852,168.500,255.000,117.845,103.175,-56.310,2.601
66,Slice1-nmdablocker.lif - Series003_000.tif:0001-0327-0475:z:1/25 - Series003_000,0.636,236.132,111.000,255.000,114.238,78.583,-49.399,2.310
67,Slice1-nmdablocker.lif - Series003_000.tif:0001-0549-0545:z:1/25 - Series003_000,0.636,241.614,180.500,255.000,131.073,131.974,-66.038,2.479
68,Slice1-nmdablocker.lif - Series003_000.tif:0001-0533-0537:z:1/25 - Series003_000,0.578,225.148,140.750,255.000,129.028,128.066,-63.435,2.151
69,Slice1-nmdablocker.lif - Series003_000.tif:0001-0149-0334:z:1/25 - Series003_000,0.636,240.832,135.500,255.000,80.267,35.774,-18.435,2.363
70,Slice1-nmdablocker.lif - Series003_000.tif:0001-0148-0351:z:1/25 - Series003_000,0.521,238.417,129.250,255.000,84.295,35.534,20.556,2.016
71,Slice1-nmdablocker.lif - Series003_000.tif:0001-0125-0347:z:1/25 - Series003_000,0.810,243.669,183.000,255.000,83.393,30.063,-24.444,3.016
72,Slice1-nmdablocker.lif - Series003_000.tif:0001-0133-0360:z:1/25 - Series003_000,0.463,239.552,145.500,255.000,86.640,31.806,-56.310,1.709
73,Slice1-nmdablocker.lif - Series003_000.tif:0001-0135-0412:z:1/25 - Series003_000,0.636,223.568,94.500,255.000,98.966,32.347,11.310,2.453
74,Slice1-nmdablocker.lif - Series003_000.tif:0001-0116-0272:z:1/25 - Series003_000,0.521,233.799,173.500,255.000,65.296,27.838,-39.806,1.804
75,Slice1-nmdablocker.lif - Series003_000.tif:0001-0106-0262:z:1/25 - Series003_000,0.521,241.444,157.000,255.000,62.951,25.553,-29.745,1.901
76,Slice1-nmdablocker.lif - Series003_000.tif:0001-0124-0210:z:1/25 - Series003_000,0.347,226.920,102.000,255.000,50.505,29.822,-36.870,1.203
77,Slice1-nmdablocker.lif - Series003_000.tif:0001-0116-0206:z:1/25 - Series003_000,0.405,255.000,255.000,255.000,49.543,27.898,135.000,1.360
78,Slice1-nmdablocker.lif - Series003_000.tif:0001-0183-0228:z:1/25 - Series003_000,0.405,232.996,127.500,255.000,54.654,44.012,-51.340,1.468
79,Slice1-nmdablocker.lif - Series003_000.tif:0001-0187-0240:z:1/25 - Series003_000,0.578,210.749,22.000,255.000,57.720,45.094,-35.538,2.069
80,Slice1-nmdablocker.lif - Series003_000.tif:0001-0342-0228:z:1/25 - Series003_000,0.463,250.352,237.041,255.000,54.774,82.371,-45.000,1.788
81,Slice1-nmdablocker.lif - Series003_000.tif:0001-0337-0217:z:1/25 - Series003_000,0.521,228.001,70.000,255.000,52.008,81.109,0.000,1.808
82,Slice1-nmdablocker.lif - Series003_000.tif:0001-0289-0108:z:1/25 - Series003_000,0.463,244.312,169.500,255.000,25.854,69.565,-90.000,1.563
83,Slice1-nmdablocker.lif - Series003_000.tif:0009-0070-0235:z:9/25 - Series003_000,0.521,242.240,158.000,255.000,56.638,16.655,-69.444,1.943
84,Slice1-nmdablocker.lif - Series003_000.tif:0009-0080-0247:z:9/25 - Series003_000,0.752,240.715,197.000,255.000,59.343,19.240,-75.964,2.948
85,Slice1-nmdablocker.lif - Series003_000.tif:0009-0084-0231:z:9/25 - Series003_000,0.463,229.622,120.000,255.000,55.435,20.322,-26.565,1.613
86,Slice1-nmdablocker.lif - Series003_000.tif:0009-0077-0223:z:9/25 - Series003_000,0.636,246.272,205.500,255.000,53.511,18.458,-32.005,2.335
87,Slice1-nmdablocker.lif - Series003_000.tif:0009-0683-0581:z:9/25 - Series003_000,0.752,247.972,165.500,255.000,139.670,164.141,-55.008,2.868
88,Slice1-nmdablocker.lif - Series003_000.tif:0009-0696-0587:z:9/25 - Series003_000,0.463,241.884,179.000,255.000,141.113,167.508,-81.870,1.722
89,Slice1-nmdablocker.lif - Series003_000.tif:0009-0853-0467:z:9/25 - Series003_000,0.578,218.093,45.500,255.000,112.434,205.147,-54.462,2.069
90,Slice1-nmdablocker.lif - Series003_000.tif:0009-0897-0477:z:9/25 - Series003_000,0.694,236.218,99.000,255.000,114.658,215.729,15.255,2.626
91,Slice1-nmdablocker.lif - Series003_000.tif:0009-0900-0463:z:9/25 - Series003_000,0.694,212.003,101.000,255.000,111.412,216.330,21.801,2.702
92,Slice1-nmdablocker.lif - Series003_000.tif:0009-0653-0369:z:9/25 - Series003_000,0.578,229.995,93.000,255.000,88.745,157.047,26.565,2.151
93,Slice1-nmdablocker.lif - Series003_000.tif:0009-0655-0358:z:9/25 - Series003_000,0.463,225.134,188.000,255.000,86.039,157.347,15.945,1.604
94,Slice1-nmdablocker.lif - Series003_000.tif:0009-0349-0588:z:9/25 - Series003_000,0.636,223.711,31.000,255.000,141.474,84.055,-32.005,2.372
95,Slice1-nmdablocker.lif - Series003_000.tif:0009-0339-0576:z:9/25 - Series003_000,0.463,255.000,255.000,255.000,138.588,81.650,-26.565,1.722
96,Slice1-nmdablocker.lif - Series003_000.tif:0009-0460-0537:z:9/25 - Series003_000,0.578,220.808,62.500,255.000,128.968,110.630,-49.399,2.141
97,Slice1-nmdablocker.lif - Series003_000.tif:0009-0451-0529:z:9/25 - Series003_000,0.694,243.529,130.000,255.000,127.044,108.285,-45.000,2.551
98,Slice1-nmdablocker.lif - Series003_000.tif:0009-0427-0392:z:9/25 - Series003_000,0.636,227.895,50.000,255.000,94.276,102.513,-36.870,2.335
99,Slice1-nmdablocker.lif - Series003_000.tif:0009-0416-0425:z:9/25 - Series003_000,0.752,213.171,103.514,255.000,102.092,99.868,80.538,2.807
100,Slice1-nmdablocker.lif - Series003_000.tif:0009-0394-0429:z:9/25 - Series003_000,0.578,242.567,164.000,255.000,103.175,94.877,83.660,2.178
101,Slice1-nmdablocker.lif - Series003_000.tif:0009-0495-0369:z:9/25 - Series003_000,0.578,218.242,108.000,255.000,88.684,118.867,40.601,2.237
102,Slice1-nmdablocker.lif - Series003_000.tif:0009-0548-0630:z:9/25 - Series003_000,0.636,238.885,127.000,255.000,151.455,131.734,-60.945,2.313
103,Slice1-nmdablocker.lif - Series003_000.tif:0009-0559-0638:z:9/25 - Series003_000,0.636,228.593,113.000,255.000,153.319,134.440,-53.130,2.405
104,Slice1-nmdablocker.lif - Series003_000.tif:0009-0580-0664:z:9/25 - Series003_000,0.868,153.246,30.500,255.000,159.752,139.430,30.256,3.388
105,Slice1-nmdablocker.lif - Series003_000.tif:0009-0574-0687:z:9/25 - Series003_000,0.463,233.545,180.250,255.000,165.103,138.107,18.435,1.563
106,Slice1-nmdablocker.lif - Series003_000.tif:0009-0295-0695:z:9/25 - Series003_000,0.636,253.087,236.000,255.000,167.088,70.887,-29.055,2.313
107,Slice1-nmdablocker.lif - Series003_000.tif:0009-0291-0684:z:9/25 - Series003_000,0.463,249.062,207.500,255.000,164.502,69.925,-23.199,1.788
108,Slice1-nmdablocker.lif - Series003_000.tif:0009-0264-0524:z:9/25 - Series003_000,0.289,240.900,184.500,255.000,125.902,63.312,-26.565,1.027
109,Slice1-nmdablocker.lif - Series003_000.tif:0009-0262-0517:z:9/25 - Series003_000,0.347,183.867,15.000,255.000,124.278,63.011,0.000,1.082
110,Slice1-nmdablocker.lif - Series005:0007-0741-0211:z:7/29 - Series005,0.925,114.406,14.000,215.333,50.565,178.151,-58.392,3.506
111,Slice1-nmdablocker.lif - Series005:0007-0750-0221:z:7/29 - Series005,0.578,226.659,76.500,255.000,53.271,180.375,-35.538,2.069
112,Slice1-nmdablocker.lif - Series005:0007-0772-0304:z:7/29 - Series005,0.810,222.627,102.000,255.000,73.112,185.606,98.746,3.044
113,Slice1-nmdablocker.lif - Series005:0007-0637-0251:z:7/29 - Series005,0.752,205.410,117.000,245.500,60.185,153.018,99.462,2.789
114,Slice1-nmdablocker.lif - Series005:0007-0622-0252:z:7/29 - Series005,0.636,241.331,147.750,255.000,60.486,149.411,78.690,2.335
115,Slice1-nmdablocker.lif - Series005:0007-0687-0321:z:7/29 - Series005,0.868,241.621,187.500,255.000,77.201,165.284,48.013,3.326
116,Slice1-nmdablocker.lif - Series005:0007-0689-0305:z:7/29 - Series005,0.694,228.641,131.789,255.000,73.292,165.645,74.745,2.596
117,Slice1-nmdablocker.lif - Series005:0007-0790-0336:z:7/29 - Series005,0.810,106.920,0.000,255.000,80.928,189.815,36.027,3.202
118,Slice1-nmdablocker.lif - Series005:0007-0790-0322:z:7/29 - Series005,0.694,235.705,91.000,255.000,77.561,189.815,10.305,2.670
