 ,Label,Area,Mean,Min,Max,X,Y,Angle,Length
158,Control6.lif - Series003:0001-0559-0470:z:1/16 - Series003,0.578,86.581,48.111,117.704,113.195,134.480,40.601,2.229
159,Control6.lif - Series003:0001-0550-0483:z:1/16 - Series003,0.636,62.817,16.000,90.933,116.322,132.315,48.814,2.443
160,Control6.lif - Series003:0001-0533-0440:z:1/16 - Series003,0.636,45.703,15.511,74.517,105.860,128.147,56.310,2.517
161,Control6.lif - Series003:0001-0525-0349:z:1/16 - Series003,0.868,104.247,64.444,129.764,84.055,126.343,45.000,3.458
162,Control6.lif - Series003:0001-0532-0401:z:1/16 - Series003,0.578,80.018,45.667,104.173,96.521,128.026,45.000,2.267
163,Control6.lif - Series003:0001-0523-0414:z:1/16 - Series003,0.521,64.826,43.000,76.375,99.527,125.782,50.194,1.985
164,Control6.lif - Series003:0001-0522-0275:z:1/16 - Series003,0.636,87.975,69.151,122.227,66.097,125.581,48.814,2.392
165,Control6.lif - Series003:0006-0541-0491:z:6/16 - Series003,0.578,48.344,19.333,70.383,118.286,130.030,57.995,2.269
166,Control6.lif - Series003:0006-0551-0482:z:6/16 - Series003,0.694,93.576,18.333,150.455,116.001,132.516,45.000,2.610
167,Control6.lif - Series003:0012-0688-0536:z:12/16 - Series003,0.810,96.885,55.864,144.118,128.938,165.584,57.529,3.168
168,Control6.lif - Series003:0012-0673-0547:z:12/16 - Series003,0.810,126.485,50.250,195.291,131.584,162.067,61.390,3.039
169,Control6.lif - Series003:0012-0547-0654:z:12/16 - Series003,0.752,100.267,61.750,143.740,157.347,131.764,48.366,2.941
170,Control6.lif - Series003:0016-0873-0310:z:16/16 - Series003,0.636,140.641,69.000,192.500,74.555,209.836,84.289,2.417
171,Control6.lif - Series003:0016-0860-0321:z:16/16 - Series003,0.810,72.701,18.500,104.672,77.020,206.650,63.435,3.066
172,Control6.lif - Series003:0016-0819-0314:z:16/16 - Series003,0.521,142.458,37.250,243.500,75.517,196.849,-29.745,1.939
173,Control6.lif - Series003:0016-0814-0302:z:16/16 - Series003,0.578,173.197,59.000,234.435,72.691,195.707,-7.125,2.076
174,Control6.lif - Series003:0016-0909-0302:z:16/16 - Series003,0.578,90.618,54.000,109.707,72.571,218.494,69.444,2.100
175,Control6.lif - Series003:0016-0920-0294:z:16/16 - Series003,0.694,62.441,3.000,133.971,70.647,221.260,73.301,2.548
176,Control6.lif - Series003:0016-0854-0200:z:16/16 - Series003,0.694,141.271,80.500,224.372,48.100,205.327,52.125,2.648
177,Control6.lif - Series003:0016-0868-0192:z:16/16 - Series003,0.636,113.122,61.000,151.480,46.056,208.874,66.038,2.369
